Title,Read Status
Haiyore! Nyaruko-san,plan_to_read
Jigokuraku,plan_to_read
Kyokou Suiri,plan_to_read
Mitsuboshi Colors,plan_to_read
Kamibukuro-kun wa Koishiteru,plan_to_read
Let's Meet at the Witches' Gathering,plan_to_read
My Tiny Senpai From Work,plan_to_read
I'm Not a Villainess!! Just Because I Can Control Darkness Doesn't Mean I'm a Bad Person!,plan_to_read
The Clueless Transfer Student Is Assertive.,plan_to_read
Non Non Biyori,plan_to_read
Saijaku Tamer wa Gomi Hiroi no Tabi o Hajimemashita.,plan_to_read
Namaikizakari,plan_to_read
Soul Eater,plan_to_read
Hinamatsuri,plan_to_read
Omniscient Reader's Viewpoint,plan_to_read
Danberu Nan Kiro Moteru?,plan_to_read
Don't Cry Maou-chan,plan_to_read
Neko no Kohana,plan_to_read
I Want to Teach Marie-sama a Lesson!,plan_to_read
Sukitte Ii na yo,plan_to_read
Oyasumi Punpun,plan_to_read
Kimi ga Shinu Made Koi wo Shitai,plan_to_read
Aiura,plan_to_read
NEW GAME!,reading
The Story of a Girl with Sanpaku Eyes,reading
"A Girl Who Can't Speak Thinks ""She Is Too Kind.""",reading
YuruYuri,reading
Mushoku Tensei ~Isekai Ittara Honki Dasu~,reading
Meika-san wa Oshikorosenai,reading
Onii-chan Is Done For!,reading
"Ijiranaide, Nagatoro-san",reading
Tokyo卍Revengers,reading
Uzaki-chan wa Asobitai!,reading
The Villainess's Butler ~I Raised Her to Be Very Cute~,reading
Awkward Senpai,reading
Karakai Jouzu no Takagi-san,reading
Kono Healer Mendokusai,reading
I Don't Know What My Little Sister's Friend Is Thinking!,reading
Neeko wa Tsurai yo,reading
Hitomi-chan Is Shy With Strangers,reading
Houseki no Kuni,reading
Tate no Yuusha no Nariagari,reading
Aharen-san wa Hakarenai,reading
Himouto! Umaru-chan,reading
Goddess Café Terrace,reading
Shikimori's Not Just a Cutie,reading
Kunoichi Tsubaki no Mune no Uchi,reading
Senryuu Shoujo,reading
Sakurai-san Wants to Be Noticed,reading
Kubo-san wa Boku (Mobu) wo Yurusanai,reading
Shiotaiou no Sato-san ga Ore ni dake Amai,reading
A Rare Marriage: How to Grill Our Love,reading
Kobayashi-san Chi no Maid Dragon,reading
Jahy-sama wa Kujikenai!,reading
Komi-san wa Komyushou Desu.,reading
Getsuyoubi no Tawawa,reading
Blue Lock,reading
Doujima-kun Won’t Be Disturbed,reading
Medusa and Futakuchi-chan,reading
Wotaku ni Koi wa Muzukashii,reading
Sousou no Frieren,reading
"I Love You, as a Friend",reading
Tonari no Furi-san ga Tonikaku Kowai,reading
D-Frag!,reading
Nijiiro Photograph,reading
"Please Go Home, Akutsu-san!",reading
Karakai Jouzu no (Moto) Takagi-san,reading
"Mysteries, Maidens, and Mysterious Disappearances",reading
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,reading
Yancha Gal no Anjou-san,reading
Amano Megumi wa Suki Darake!,reading
People Are Free to Think of What They Want -Her Anger Management-,reading
Welcome to the Cheap Restaurant of Outcasts!,reading
Sewayaki Kitsune no Senko-san,reading
Kimi wa Meido-sama,reading
Taimashi to Akuma-chan (pixiv),reading
Gekkan Shoujo Nozaki-kun,reading
"Kanojo, Okarishimasu",reading
Tonikaku Kawaii,reading
Kage no Jitsuryokusha ni Naritakute,reading
Senpai ga Uzai Kouhai no Hanashi,reading
Grand Blue,reading
Pseudo Harem,reading
Sono Bisque Doll wa Koi wo Suru,reading
The Demon King's Daughter Is Way Too Easy,reading
HG ni Koisuru Futari,reading
Horimiya,reading
Gokushufudou: The Way of the House Husband,reading
Soredemo Ayumu wa Yosetekuru,reading
Atsumare! Fushigi Kenkyu-bu,reading
Aikagi-kun to Shiawase Gohan,reading
Solo Leveling,reading
My Recently Hired Maid Is Suspicious,reading
"Since I Became a Saint, I'll Do Whatever I Want with My Second Life",reading
Kuno Chiyo the Precog,reading
Tensei Shitara Slime Datta Ken,reading
Boku no Kokoro no Yabai Yatsu,reading
The Story Between a Dumb Prefect and a High School Girl with an Inappropriate Skirt Length,reading
Machikado Mazoku,reading
Darwin's Game,reading
